Block,Treat,Prep,Seed,Natives,Nonnatives,NF,WF,NG,WG,Amil,Acris,Atri,Afri,Aten,Bsag,Binc,Bsqu,Btec,Cmic,Cmac,Csto,Calb,Dsop,Egla,Erep,Etra,Efil,Fest,Fpud,Gari,Ksco,Lser,Lden,Mlup,Malb,Mlae,Myo,Poa,Pcom,Psand,Pavi,Pspi,Race,Stra,Sloe,Scry,Toff,Tarv,Trit
I,RS,R,S,7,250,4,247,3,3,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,2,115,0,0,0,3,0,0,0,0,0,2,1,0,79,47,0,0,0,0
I,C,C,NS,2,104,2,102,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,50,0,0,0,3,0,0,0,0,0,1,0,0,39,8,0,0,0,0
I,HS,H,S,1,104,1,102,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,32,0,0,0,8,0,0,0,0,0,1,0,0,54,7,0,0,0,0
I,HRC,HR,NS,13,70,13,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,49,0,0,0,1,0,0,0,0,0,0,0,0,12,7,0,0,0,0
I,HRS,HR,S,5,88,4,84,1,4,0,4,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,37,0,0,0,9,0,0,0,0,0,0,0,0,31,3,0,1,0,0
I,RC,R,NS,0,70,0,69,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,39,0,0,0,3,0,0,0,0,0,1,0,0,19,6,0,0,0,0
I,S,C,S,0,38,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0
I,HC,H,NS,0,88,0,85,0,3,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,37,0,0,0,7,0,0,0,0,0,2,0,0,23,9,0,0,0,0
II,HRS,HR,S,10,52,6,50,4,2,0,1,0,0,0,3,0,0,1,0,0,0,4,0,2,0,1,0,1,0,3,26,0,0,0,12,0,0,0,0,0,3,0,0,0,5,0,0,0,0
II,HS,H,S,2,36,2,34,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,19,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0
